"Sentiment","text"
"negative","@11chiqa11 sudah chiq..ak smpk stres  knpa yahh..heheh..well i'll try next time.."
"negative","why does the lake have to be all crappy over on my side?! really one nice day and it's ruined  hmm...but still hanging out with the aw ..."
"negative","so tired.. think i have the flu... the regular flu, not the piggy flu... "
"negative","I want a Wave account "
"negative","@TheEllenShow a baby bird that fell from it's nest "
"negative","Checking out 5 Seasons Westside &amp; Retromodern going out of business sale...sad about the Grey's Anatomy finale I caught this morning "
"negative","@itsChrisOhh I hate the gym  you need to come back chris"
"negative","@mechaganon sorry it's raining on your party today "
"negative","i always thought i could make kingscot from my felted tweed knockoff (grignasco tango)... don't think it's the right gauge "
"negative","@Duels I tried to do mechduels but my login doesn't work "
"negative","I've - imojonty:  whats wrongggg?  it’s just hit me that my driving test is SOON and i did a mock one with... http://tumblr.com/xnu21qq1v"
"negative","booo, my cat just up chucked half eaten cat-bikkies on one of my bags "
"negative","@HOT957 who's  bill got paid at 8:15 a.m. this morning miss it....  please let me know... i listen at 12:15 p.m. but miss this morning..."
"negative","@stevenzenith I haven't done anything fun with any of this for a decade or more now, so I will stop talking lest I become nostalgic "
"negative","is working and tired "
"negative","@slimron @ceodrew i love u guys! ima miss ya'll  im on the road to destin wit @MiChelL3L3 "
"negative","there goes my jason mewes fantasy  ur right daniel. I will ALWAYS have my river. cry me a river.....I shall."
"negative","I�m having THE MOST FUCKIN DAY OF MY WHOLE LFE.    I wish I could tell you what�s going on,but I can�t.."
"negative","Discovered that today is the 50th birthday of my cousin-once-removed, and he just had a heart attack.  "
"negative","@Dashgne we ended up getting a crazy afternoon thunderstorm, but then the rain went away  we need more rain on my part of the planet"
"negative","Hmm... Home alone, I kinda like it.. The apartment all for myself.. Just not going to like it when the girls are really gone  My Girls!"
"negative","I'm really bored, bored as hell, bored and all bored "
"negative","@NickkkJonasss good but i have exams!!  wish me luck pleeeease???xxxx"
"negative","Good night tweets. Up again @4...God Help me   @granola27 yea for you getting your iPhone !!!!!!!"
"negative","@fedjkin I was probably at work.  I figured you would be up for a couple of hours.  Oh well. "
"negative","@xosnowkissedxo join the crappy club "
"negative","@mattb09 I think I'm dying  good result or bad times?"
"negative","Corey saw our bunny's first sneeze and first yawn. I am a deadbeat mom. "
"negative","I Think I Am So In Love...&lt;3 If Only Age Was Just A Number Damnit;;;  He Is So Sweet He Makes Me So Happy God WTF?"
"negative","I keep having bad head aches!! I'm getting scared "
"negative","I just got my first speeding ticket in about 15 years. "
"negative","shit my headache is back "
"negative","missing his gf "
"negative","@teddy_dunn Me too  poor baby I'll comfort him ;)"
"negative","@bbqshari I'm going to live in Beverly Hills when I become 18 years old. No I Don't but I wish I had "
"negative","@Cookie_Crumz I know u hate me cause everyone else is on ur top friends except me. "
"negative","im sitting here and wait that the sun shines "
"negative","My face hurts "
"negative","Morning twitter. Trying this morning people thing of coffee again. Not sure its doing anything for me. "
